model,file_size_MB,pct_eq_0,pct_0_1,pct_0_3,pct_0_7,pct_0_15,pct_0_31,pct_0_63,min_value,max_value,mean,median,mode,variance,std_dev,total_sum,num_lists,total_numbers,mean_list_length,min_list_length,max_list_length,std_list_length,mean_of_means,min_mean,max_mean,std_of_means
DeepSeek,42.65087032318115,79.71013313898251,87.13179011599695,91.29339659650577,93.91818301822596,95.64639152640376,96.83677320636077,97.73916584086165,0,32243,26.4628256662062,0.0,0,340570.3856964662,583.5840862261978,569330758,22746,21514360,945.8524575749582,12,116200,1955.111142352843,23.60227552073352,0.12339331619537275,1746.5714285714287,50.48102890057283
DeepSeekQuantized,42.67018985748291,79.47664257732974,86.9823875774134,91.22011995708912,93.85868322367014,95.58231339440262,96.78685770806104,97.7155444084788,0,32247,26.87216659012864,0.0,0,340965.57328396785,583.9225747339864,578137466,22746,21514360,945.8524575749582,12,116200,1955.111142352843,23.898651725572584,0.11825192802056556,1723.0285714285715,50.03362815118191
CodeGemma,39.23501205444336,74.34139038882005,82.62822552310571,87.41243086324387,90.58099479489088,92.78872669391217,94.3231242114153,95.50331318421522,-1,255985,247.88675173523205,0.0,0,19198852.704631105,4381.649541511862,4750324967,22746,19163287,842.4904158973006,11,109038,1745.7651817814603,214.74317033207427,1.3617021276595744,8022.1894273127755,314.2854917622121
CodeGemmaQuantized,38.48684787750244,78.4949471351131,86.0896515300324,90.2821003515733,92.95598401255484,94.71983068457932,95.93762802801001,96.85109866590214,-1,255989,156.17126696479576,0.0,0,12136091.511411438,3483.689353460127,2992754810,22746,19163287,842.4904158973006,11,109038,1745.7651817814603,146.70179883560874,0.7766990291262136,7084.1366459627325,282.2385223769458
CodeT5,74.19305610656738,14.387274517421542,19.877087666951343,25.71355140108477,31.626917523971553,37.20706172166231,42.39506108827721,47.242247606947615,-1,32099,2944.3859283875704,96.0,0,30125280.193689518,5488.650124911363,63147267470,22746,21446668,942.8764617954805,13,102924,1889.7588542592628,2566.636570425109,5.369230769230769,11333.333333333334,1172.4122080269956
Gemma,39.040032386779785,73.9505023329244,82.54228515181138,87.47143431082569,90.80672851165878,93.101251366741,94.69516894465964,95.90274361595691,-1,255643,204.88396927938302,0.0,0,17375953.898569383,4168.447420631497,3926250305,22746,19163287,842.4904158973006,11,109038,1745.7651817814603,168.30310858837115,0.21171171171171171,11813.111111111111,264.88636874957524
GemmaQuantized,39.103607177734375,73.52913933815216,82.21796709510222,87.22613714442622,90.59193759400462,92.9156516833464,94.54913449869012,95.78884353190557,-1,255869,213.85638977279837,0.0,0,18141441.60478017,4259.277122327235,4098191374,22746,19163287,842.4904158973006,11,109038,1745.7651817814603,175.3803939304429,0.19369369369369369,11799.055555555555,272.2334168761512
Granite,36.99009037017822,76.42025698480222,84.53557908148068,89.28690818097142,92.38484548230848,94.45278590105376,95.87403892786959,96.95606308255245,0,48831,33.536457387262814,0.0,0,259557.27787827968,509.46764164005515,618681136,22746,18448017,811.0444473753627,9,107725,1694.3545798298649,36.12755440007393,0.18562874251497005,1595.2222222222222,48.0150751789354
GraniteCode,36.675042152404785,78.53665789661838,86.26212779400626,90.6761740299784,93.50636439678043,95.36854286289957,96.63033701671026,97.56766811305518,0,48888,22.780369944368548,0.0,0,139938.51748940445,374.0835701944212,420252652,22746,18448017,811.0444473753627,9,107725,1694.3545798298649,24.518641393179557,0.07114624505928854,999.5,35.63290846951343
GraniteCodeQuantized,36.69836902618408,78.3521231577356,86.1199878556053,90.57305183532735,93.42570532106514,95.29991218026306,96.57719309343655,97.52557144759786,0,49012,23.45085008323659,0.0,0,147561.4042364075,384.13722058192633,432621681,22746,18448017,811.0444473753627,9,107725,1694.3545798298649,25.36643395982797,0.1067193675889328,1123.56,36.903250646702965
Llama1B,32.25214767456055,72.8610665532259,81.46449530304865,86.7439374395907,90.23788914149952,92.66232510318518,94.45658164554136,95.81614423574024,0,128209,121.3189843028484,0.0,0,5891114.794486824,2427.1618805689136,1918161601,22746,15810894,695.1065681878132,9,92488,1450.5414325778565,121.9163888486369,0.31092436974789917,5217.266666666666,190.0376570316126
Llama1BQuantized,32.3909330368042,71.53689728107722,80.40975418594293,85.94605719322385,89.63276206898864,92.1931422726634,94.07170777313414,95.53233359226873,0,128191,129.37912498812528,0.0,0,6048587.844885445,2459.387697148509,2045599631,22746,15810894,695.1065681878132,9,92488,1450.5414325778565,125.80448235171205,0.3448275862068966,5272.6,185.00005113768304
Llama3B,32.682945251464844,70.68592073288202,79.521556466067,85.03548249706816,88.75773880970931,91.38311217569355,93.3555623103918,94.88678502303539,0,128253,203.60700419596768,0.0,0,10241135.519519528,3200.177420006511,3219208761,22746,15810894,695.1065681878132,9,92488,1450.5414325778565,179.8411310981411,0.25210084033613445,3999.0444444444443,198.60868005543648
Llama3BQuantized,32.049099922180176,74.28815853170605,82.72469602288143,87.79503549894142,91.10736559235676,93.39147425819185,95.02718821592252,96.27842676068792,0,128233,115.52171736778452,0.0,0,5934969.360815794,2436.1792546559036,1826501628,22746,15810894,695.1065681878132,9,92488,1450.5414325778565,117.81540950375593,0.27310924369747897,4393.666666666667,190.02378178924346
Phi2,42.787081718444824,75.68397428674906,83.72394661146708,88.32347127755284,91.377363340556,93.53522474182287,95.16331794622381,96.44963160961093,0,51179,35.77871348250884,0.0,0,268150.68539887614,517.8326808911119,758307077,22746,21194364,931.7842257979424,10,100106,1874.7435196658657,40.136818944224196,0.1791907514450867,3069.6470588235293,54.77429197278436
StarCoder2_4,36.562825202941895,79.43534153978781,87.00177162802014,91.25301757838332,93.95454433102883,95.71230135585591,96.908025598518,97.78550833864178,0,48937,20.427194403381336,0.0,0,127136.21624597142,356.5616584070298,376852485,22746,18448568,811.0686714147542,9,107726,1694.3881059486343,21.141956731274476,0.10236220472440945,952.3030303030303,31.782209359005808
StarCoder2_8,36.541855812072754,79.66029666909648,87.15805476067302,91.36589354794367,94.03721199390652,95.77820348983184,96.95836012854765,97.82486098650041,0,48916,19.833126885512197,0.0,0,121934.81928588894,349.1916655447105,365892790,22746,18448568,811.0686714147542,9,107726,1694.3881059486343,20.458636836038718,0.11180124223602485,997.9545454545455,31.03471796791503
StarCoder2_16,36.528754234313965,80.04659765462556,87.40180267650042,91.53668729193507,94.12707262699197,95.81932863298658,96.98503970606282,97.84366461396895,0,48957,19.606227431852705,0.0,0,120147.4949460267,346.62298675365815,361706820,22746,18448568,811.0686714147542,9,107726,1694.3881059486343,20.24490067514162,0.08267716535433071,989.6363636363636,30.949674907674755
StarCoder2_32,36.541032791137695,79.63714040027389,87.14560392980096,91.35790376792389,94.03388382231076,95.7830656558276,96.96223034763457,97.82686656221773,0,48962,19.813340580146924,0.0,0,121816.57482417107,349.02231278841055,365527761,22746,18448568,811.0686714147542,9,107726,1694.3881059486343,20.455844504892276,0.11220472440944881,991.439393939394,31.20966604338477
UnixCoder,17.958879470825195,47.52547396793733,64.35617926625767,76.94003003623548,84.51055835739308,89.39258559176521,92.77255698737628,95.17454929956904,0,50151,49.49417905566466,1.0,0,358970.8439641693,599.141756151388,425861478,22746,8604274,378.2763562824233,13,511,153.39697051991828,53.31353102885005,2.4383561643835616,6590.019569471624,73.95486501708515
